id;user_name;framework;document_no;dominant_topic;topic_perc_contrib;keywords;title;texts;answer;label;reason
1;EXE portal;CORDOVA;12679;49718;86882;Salad;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;quantifying back;../fake-data/blob/hipster.txt
2;Central Keyboard static;CORDOVA;75689;30583;72434;Cambridgeshire;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;firewall Forward;../fake-data/blob/hipster.txt
3;generate;FLUTTER;93115;25497;99255;primary;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Indian Israel Virtual;../fake-data/blob/hipster.txt
4;Plaza Security;REACT_NATIVE;3636;29133;93462;Specialist Orchestrator hack;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;program;../fake-data/blob/hipster.txt
5;mobile green Guatemala;XAMARIN;59136;16242;9661;transition Home Myanmar;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;ROI Cambridgeshire;../fake-data/blob/hipster.txt
6;capacitor Philippines;REACT_NATIVE;62924;57252;10281;Minnesota recontextualize JSON;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;logistical;../fake-data/blob/hipster.txt
7;Frozen Fresh maximized;CORDOVA;22352;61887;96437;Re-engineered;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Vanuatu cross-platform;../fake-data/blob/hipster.txt
8;Human Profit-focused;XAMARIN;35221;39460;60479;Louisiana TCP;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;violet International;../fake-data/blob/hipster.txt
9;auxiliary background Lithuania;REACT_NATIVE;93772;88280;76573;Tasty auxiliary SAS;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Texas;../fake-data/blob/hipster.txt
10;Burundi Bedfordshire Common;XAMARIN;83036;54892;2844;Norwegian;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Pizza invoice;../fake-data/blob/hipster.txt
