id;framework;document_no;dominant_topic;topic_perc_contrib;keywords;title;texts;answer
1;XAMARIN;1099;49482;82670;Clothing;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
2;CORDOVA;24008;97510;94586;Market Courts Fantastic;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
3;FLUTTER;70059;81960;98584;Hat benchmark Carolina;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
4;CORDOVA;1919;96612;86226;Switchable online;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
5;CORDOVA;17235;25932;21656;Car value-added;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
6;CORDOVA;17176;84392;43317;Engineer paradigm;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
7;FLUTTER;13531;45849;37457;Chips;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
8;CORDOVA;83372;49347;52742;connect Solutions Wisconsin;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
9;FLUTTER;95218;4764;38768;Berkshire Pataca firewall;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
10;FLUTTER;30380;40314;35219;Regional;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
